ItemID	ItemName	ItemViewURL	PictureURL	Category	CategoryID	Decription	SKU	StartDate	EndDate	Price	Length	Width	Height	WeightUnit	
	Ford Falcon 1998-02 (AU Model)  Windscreen Wiper Blades-AeroTech Teflon Design	http://www.ebay.com.au/itm/Ford-Falcon-1998-02-AU-Model-Windscreen-Wiper-Blades-AeroTech-Teflon-Design-/190983224751	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/vscAAOxy3zNSk9UK/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHT808-FOR2222	25-Nov-2013	25-Mar-2014	0.00	72	5	4	Kgs	
	2 x NEW Holden Commodore V6 V8 VS VT VU VX VY VZ VE o2 Sensor / Oxygen Sensor	http://www.ebay.com.au/itm/2-x-NEW-Holden-Commodore-V6-V8-VS-VT-VU-VX-VY-VZ-VE-o2-Sensor-Oxygen-Sensor-/191080963421	http://i.ebayimg.com/00/s/MTYwMFgxMDk2/z/V8cAAOxyRhBSwQrE/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Air Intake, Fuel Delivery:Sensors	33557		o2-0258005703x2	24-Feb-2014	26-Mar-2014	0.00	13	10	10	Kgs	
	NEW Holden Commodore V6 V8 VS VT VU VX VY VZ VE o2 Sensor / Oxygen Sensor	http://www.ebay.com.au/itm/NEW-Holden-Commodore-V6-V8-VS-VT-VU-VX-VY-VZ-VE-o2-Sensor-Oxygen-Sensor-/201042211353	http://i.ebayimg.com/00/s/MTYwMFgxMTg0/z/a-gAAOxycmBSwPaQ/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Air Intake, Fuel Delivery:Sensors	33557		o2-0258005703	24-Feb-2014	26-Mar-2014	0.00	13	10	5	Kgs	
	Ford Falcon BA BF BONNET GAS STRUTS (NEW PAIR) 2 x NEW	http://www.ebay.com.au/itm/Ford-Falcon-BA-BF-BONNET-GAS-STRUTS-NEW-PAIR-2-x-NEW-/190947360455	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/e8MAAMXQrC9SbZl8/$T2eC16JHJGkFFmupfev-BSbZl7Lp(!~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		116356	27-Oct-2013	26-Mar-2014	0.00				Kgs	
	BMW X6 2008 on (E71 E72)  Windscreen Wiper Blades - AeroTech Design (NEW L&R)	http://www.ebay.com.au/itm/BMW-X6-2008-E71-E72-Windscreen-Wiper-Blades-AeroTech-Design-NEW-L-R-/190948733832	http://i.ebayimg.com/00/s/MTU4WDMxOA==/z/L9wAAMXQrC9Sbt1r/$(KGrHqFHJEgFJ,MRDfgQBSbt1qVhPQ~~60_1.JPG?set_id=8800005007	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ103-BMW2420	28-Oct-2013	27-Mar-2014	0.00	72	5	4	Kgs	
	Audi A4 S4 2003-09 (B6 B7) Windscreen Wiper Blades - AeroTech Design (NEW L&R)	http://www.ebay.com.au/itm/Audi-A4-S4-2003-09-B6-B7-Windscreen-Wiper-Blades-AeroTech-Design-NEW-L-R-/200981140460	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/VOQAAOxyM89Sci5m/$T2eC16JHJIUFHHiOe36BBSci5lSK,g~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ108-AUD2222	28-Oct-2013	27-Mar-2014	0.00	72	5	4	Kgs	
	Renault Clio 2008 on (X85) Windscreen Wiper Blades - AeroTech Design (NEW L&R)	http://www.ebay.com.au/itm/Renault-Clio-2008-X85-Windscreen-Wiper-Blades-AeroTech-Design-NEW-L-R-/200981153100	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/itkAAMXQfvlSciy3/$(KGrHqYOKpMFJI(LnVYIBSciy2pl9!~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ115-REN2416	28-Oct-2013	27-Mar-2014	0.00	72	5	4	Kgs	
	Mercedes Benz ML Class 2005-11 (W164) Windscreen Wiper Blades- AeroTech Design 	http://www.ebay.com.au/itm/Mercedes-Benz-ML-Class-2005-11-W164-Windscreen-Wiper-Blades-AeroTech-Design-/200981157560	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/DGEAAOxy8HlSciuD/$T2eC16hHJGcFJmo+7oiSBSciuCgBWg~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ102-MER2822	28-Oct-2013	27-Mar-2014	0.00	72	5	4	Kgs	
	VOLKSWAGEN VW GOLF GTI TDI 2007-2011 Windscreen Wiper Blades - AeroTech Design 	http://www.ebay.com.au/itm/VOLKSWAGEN-VW-GOLF-GTI-TDI-2007-2011-Windscreen-Wiper-Blades-AeroTech-Design-/200981275354	http://i.ebayimg.com/00/s/MTk0WDI1OQ==/z/2T4AAOxyM89Sb2ge/$(KGrHqF,!lsFJj06Di7oBSb2geJ0WQ~~60_1.JPG?set_id=8800004005	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ101-GOL2419	29-Oct-2013	28-Mar-2014	0.00	72	5	4	Kgs	
	Holden Statesman 06-12 (Model WM) - Windscreen Wiper Blades - AeroTech Design	http://www.ebay.com.au/itm/Holden-Statesman-06-12-Model-WM-Windscreen-Wiper-Blades-AeroTech-Design-/190950160038	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/t5oAAOxyDEVSciiD/$(KGrHqYOKpMFJI(LnVYIBScii!5F2!~~60_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ102-HOL2615	30-Oct-2013	29-Mar-2014	0.00	72	5	4	Kgs	
	Toyota Landcruiser 80 series TAILGATE GAS STRUTS (NEW PAIR) FREE POSTAGE	http://www.ebay.com.au/itm/Toyota-Landcruiser-80-series-TAILGATE-GAS-STRUTS-NEW-PAIR-FREE-POSTAGE-/200996151098	http://i.ebayimg.com/00/s/NjY3WDEwMDA=/z/zm8AAMXQWzNSmVSc/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Other	6763		116290	30-Nov-2013	30-Mar-2014	0.00				Kgs	
	Renault Laguna 2008 on (III series) Windscreen Wiper Blades-AeroTech Design	http://www.ebay.com.au/itm/Renault-Laguna-2008-III-series-Windscreen-Wiper-Blades-AeroTech-Design-/190989682707	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/L5QAAOxypNtSm6NA/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ115-REN2616	01-Dec-2013	31-Mar-2014	0.00	72	5	4	Kgs	
	Holden Astra 2004-10 (AH Model) Windscreen Wiper Blades-AeroTech Teflon Design	http://www.ebay.com.au/itm/Holden-Astra-2004-10-AH-Model-Windscreen-Wiper-Blades-AeroTech-Teflon-Design-/191087731352	http://i.ebayimg.com/00/s/NzUwWDEwMDA=/z/N8oAAOxyTjNSk9Mb/$_1.JPG?set_id=880000500F	Vehicle Parts & Accessories:Car, Truck Parts:Exterior:Windshield Wipers	33657		XHZ103-AST2218	02-Mar-2014	01-Apr-2014	0.00	72	5	4	Kgs	
